,GSM5444463,GSM5444460,GSM5444461,GSM5444462,GSM5444464,GSM5444465,GSM5444448,GSM5444449,GSM5444450,GSM5444451,GSM5444452,GSM5444453,GSM5444454,GSM5444455,GSM5444456,GSM5444457,GSM5444458,GSM5444459
ENSG00000285644.1,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,11,0,0
ENSG00000236710.1,11,1,0,7,0,0,0,2,8,2,7,0,0,0,0,4,0,0
ENSG00000021762.20,61,158,101,173,227,241,1912,2358,2028,3100,1956,13,348,1613,755,1216,119,12
ENSG00000234791.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000182170.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236301.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000184350.11,0,0,0,0,0,0,2,4,7,9,18,0,0,0,0,0,6,0
ENSG00000224513.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236987.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000276951.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232390.3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
ENSG00000273813.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000254592.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000005801.18,122,155,193,125,188,169,370,342,280,239,212,0,113,256,163,272,8,0
ENSG00000223756.6,0,5,3,13,0,9,26,36,29,30,12,0,0,0,0,0,0,0
ENSG00000189398.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0
ENSG00000166492.9,6,2,0,4,1,4,6,14,8,11,8,0,2,0,0,1,0,0
ENSG00000284605.1,0,0,0,0,0,0,0,2,5,1,3,0,0,0,0,2,0,0
ENSG00000254757.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
ENSG00000287906.1,139,73,118,130,287,157,445,494,280,481,385,0,29,88,33,202,6,8
ENSG00000255367.3,0,0,0,0,0,0,14,3,1,5,10,0,0,0,0,4,0,0
ENSG00000287312.1,1,0,0,0,0,2,3,3,1,3,4,0,0,0,0,5,0,0
ENSG00000255522.1,0,6,1,1,0,3,1,6,0,1,1,0,4,0,0,4,1,3
ENSG00000237226.1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0
ENSG00000223688.2,0,0,0,0,0,0,0,8,1,0,1,0,0,0,0,6,0,0
ENSG00000284639.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000230851.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000238161.1,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,1,0
ENSG00000182048.11,0,0,0,0,0,0,0,19,4,5,2,0,0,0,0,0,0,0
ENSG00000167311.14,4,0,0,3,0,3,53,53,49,49,37,0,3,0,0,11,0,0
ENSG00000129744.3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
ENSG00000201279.1,0,0,0,0,0,4,2,0,4,0,0,0,0,0,0,0,0,0
ENSG00000200201.1,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
ENSG00000129749.3,60,42,53,30,51,32,3,47,13,28,19,0,32,39,0,38,0,0
ENSG00000110713.17,525,795,965,882,891,936,1090,1396,1415,1641,1243,31,235,489,435,606,54,18
ENSG00000251934.1,0,2,0,0,0,1,0,6,4,3,0,0,0,0,0,4,0,0
ENSG00000238304.1,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000148985.20,688,825,716,790,938,1027,693,619,440,611,466,9,146,326,312,572,42,27
ENSG00000177105.10,670,843,655,886,918,1038,903,1091,777,1091,959,5,220,734,273,777,100,13
ENSG00000228661.1,7,3,2,10,7,7,0,15,0,3,11,0,0,0,0,0,3,0
ENSG00000167323.11,1408,1703,1460,1756,1737,2239,1018,1294,926,1280,1089,3,327,466,286,457,75,23
ENSG00000229368.1,15,6,0,6,16,12,20,20,3,10,10,0,0,0,0,0,3,0
ENSG00000284525.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000230593.3,2,1,0,0,5,0,2,0,3,1,0,7,0,0,0,0,0,0
ENSG00000206976.1,15,5,10,18,4,4,0,12,1,6,4,0,0,0,0,3,0,0
ENSG00000255232.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
